Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
238,"Galleta María SCHÄR, paquete 200 g",Galleta María SCHÄR,paquete 200 g,NaN,KILO,9.95,0,0,NaN,1.99,2020-04-10
239,"Bolsita 100% multifrutas EROSKI, pack 4x100 g",Bolsita 100% multifrutas EROSKI,pack 4x100 g,score-a,KILO,7.00,0,0,NaN,2.80,2020-04-10
240,"Salchichas Viena EROSKI, sobre 200 g",Salchichas Viena EROSKI,sobre 200 g,score-d,KILO,3.05,0,0,NaN,0.61,2020-04-10
241,"Sardinilla en salsa de tomate EROSKI, lata 90 g",Sardinilla en salsa de tomate EROSKI,lata 90 g,score-d,KILO,9.78,0,0,NaN,0.88,2020-04-10
242,"Mermelada con fresitas de Huelva Eroski SELEQTIA, frasco 230 g",Mermelada con fresitas de Huelva Eroski SELEQTIA,frasco 230 g,score-c,KILO,5.91,2,5.0,NaN,1.36,2020-04-10
243,"Chorizo ibérico cular extra EROSKI, al corte, compra mínima 100 g",Chorizo ibérico cular extra EROSKI,al corte,score-e,KILO,20.00,2,4.0,NaN,2.00,2020-04-10
244,"Helado sabor vainilla EROSKI, tarrina 490 g",Helado sabor vainilla EROSKI,tarrina 490 g,score-c,KILO,2.76,0,0,NaN,1.35,2020-04-10
245,"Bioactive 0% con piña EROSKI, pack 4x125 g",Bioactive 0% con piña EROSKI,pack 4x125 g,score-a,KILO,2.08,1,5.0,NaN,1.04,2020-04-10
246,"Edulcorante stevia EROSKI, frasco 200 g",Edulcorante stevia EROSKI,frasco 200 g,NaN,KILO,14.80,0,0,NaN,2.96,2020-04-10
247,"Cacahuetes repelados fritos EROSKI, bolsa 175 g",Cacahuetes repelados fritos EROSKI,bolsa 175 g,score-c,KILO,4.06,0,0,NaN,0.71,2020-04-10
248,"Preparado para cocido al vacío EROSKI, al peso aprox. 300 g",Preparado para cocido al vacío EROSKI,al peso aprox. 300 g,score-e,KILO,9.97,0,0,NaN,2.99,2020-04-10
249,"Pipas de girasol aguasal EROSKI basic, bolsa 200 g",Pipas de girasol aguasal EROSKI basic,bolsa 200 g,score-d,KILO,3.45,0,0,NaN,0.69,2020-04-10
250,"Chorizo cular ibérico EROSKI, pieza 500 g",Chorizo cular ibérico EROSKI,pieza 500 g,score-e,KILO,15.30,0,0,NaN,7.65,2020-04-10
251,"Jamón de pavo mini EROSKI, pieza 500 g",Jamón de pavo mini EROSKI,pieza 500 g,score-d,KILO,4.90,0,0,NaN,2.45,2020-04-10
252,"Pulpo a la gallega EROSKI, bandeja 200 g",Pulpo a la gallega EROSKI,bandeja 200 g,score-b,KILO,40.75,0,0,NaN,8.15,2020-04-10
253,"Foie Entier Micuit Eroski SELEQTIA, blister 80 g",Foie Entier Micuit Eroski SELEQTIA,blister 80 g,score-e,KILO,98.63,0,0,NaN,7.89,2020-04-10
254,"Yogur desnatado de limón EROSKI basic, pack 4x125 g",Yogur desnatado de limón EROSKI basic,pack 4x125 g,score-a,KILO,1.12,0,0,NaN,0.56,2020-04-10
255,"Fiambre de pechuga de pavo EROSKI basic, al corte, compra mínima 100 g",Fiambre de pechuga de pavo EROSKI basic,al corte,score-d,KILO,9.00,0,0,NaN,0.90,2020-04-10
256,"Arroz 3 delicias-marisco EROSKI, bolsa 500 g",Arroz 3 delicias-marisco EROSKI,bolsa 500 g,score-b,KILO,3.10,1,5.0,NaN,1.55,2020-04-10
257,"Gelatina de limón EROSKI, pack 4x100 g",Gelatina de limón EROSKI,pack 4x100 g,score-c,KILO,1.40,1,5.0,NaN,0.56,2020-04-10
258,"Pipas de calabaza tostadas EROSKI, bolsa 200 g",Pipas de calabaza tostadas EROSKI,bolsa 200 g,score-e,KILO,6.20,1,1.0,NaN,1.24,2020-04-10
259,"Activitas sabores infantil EROSKI, pack 6x100 g",Activitas sabores infantil EROSKI,pack 6x100 g,score-b,KILO,2.80,0,0,NaN,1.69,2020-04-10
260,"Pechuga de pavo reducida en sal EROSKI Sannia, pieza 500 g",Pechuga de pavo reducida en sal EROSKI Sannia,pieza 500 g,score-b,KILO,7.30,0,0,NaN,3.65,2020-04-10
261,"Caramelos masticables SUGUS, bolsa 150 g",Caramelos masticables SUGUS,bolsa 150 g,NaN,KILO,13.27,0,0,NaN,1.99,2020-04-10
262,"Chicharricos EROSKI, bolsa 120 g",Chicharricos EROSKI,bolsa 120 g,score-e,KILO,15.75,0,0,NaN,1.89,2020-04-10
263,"Salsa alioli EROSKI, bocabajo 300 g",Salsa alioli EROSKI,bocabajo 300 g,score-e,LITRO,3.50,0,0,NaN,1.05,2020-04-10
264,"Tira de costilla cerdo sabor barbacoa EROSKI, sobre aprox. 500 g",Tira de costilla cerdo sabor barbacoa EROSKI,sobre aprox. 500 g,score-d,KILO,6.70,0,0,NaN,3.35,2020-04-10
265,"Tortitas de  maíz con quinoa EROSKI, paquete 130 g",Tortitas de  maíz con quinoa EROSKI,paquete 130 g,score-a,KILO,10.54,2,5.0,NaN,1.37,2020-04-10
266,"Chorizo criollo EROSKI, bandeja aprox. 480 g",Chorizo criollo EROSKI,bandeja aprox. 480 g,score-d,KILO,7.75,0,0,NaN,3.72,2020-04-10
267,"Mayonesa EROSKI, frasco 225 ml",Mayonesa EROSKI,frasco 225 ml,score-d,LITRO,2.76,1,4.0,NaN,0.62,2020-04-10
268,"Alas de pollo adobadas tradicional EROSKI, bandeja 500 g",Alas de pollo adobadas tradicional EROSKI,bandeja 500 g,score-b,KILO,6.78,0,0,NaN,3.39,2020-04-10
269,"Lactozumo tropical EROSKI, brik 1 litro",Lactozumo tropical EROSKI,brik 1 litro,score-b,NaN,NaN,0,0,NaN,0.64,2020-04-10
270,"Paleta cocida lonchas finas  EROSKI basic, bandeja 250 g",Paleta cocida lonchas finas  EROSKI basic,bandeja 250 g,score-c,KILO,8.20,0,0,NaN,2.05,2020-04-10
271,"Paella de marisco EROSKI, bolsa 500 g",Paella de marisco EROSKI,bolsa 500 g,score-b,KILO,4.90,0,0,NaN,2.45,2020-04-10
