Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
0,"Filetes de lomo adobado de cerdo extrafino EROSKI, bandeja 300 g",Filetes de lomo adobado de cerdo extrafino EROSKI,bandeja 300 g,score-c,KILO,12.83,9,4.5,NaN,3.85,2020-04-10
1,"Picada mixta cerdo-vacuno burger meat EROSKI basic, bandeja 1 kg",Picada mixta cerdo-vacuno burger meat EROSKI basic,bandeja 1 kg,score-c,NaN,NaN,1,4.0,5.30,4.99,2020-04-10
2,"Filetes de lomo de cerdo adobado EROSKI, bandeja 500 g",Filetes de lomo de cerdo adobado EROSKI,bandeja 500 g,score-c,KILO,9.50,4,4.2,NaN,4.75,2020-04-10
3,"Tomate frito casero con aceite de oliva EROSKI, frasco 350 g",Tomate frito casero con aceite de oliva EROSKI,frasco 350 g,score-b,KILO,3.11,17,4.8,NaN,1.09,2020-04-10
4,"Queso rallado 4 quesos EROSKI, bolsa 150 g",Queso rallado 4 quesos EROSKI,bolsa 150 g,score-d,KILO,10.60,7,4.2,NaN,1.59,2020-04-10
5,"Queso rallado Mozzarella EROSKI para pizza, bolsa 200 g",Queso rallado Mozzarella EROSKI para pizza,bolsa 200 g,score-d,KILO,7.25,4,5.0,NaN,1.45,2020-04-10
6,"Picada mixta de cerdo-vacuno EROSKI, bandeja 400 g",Picada mixta de cerdo-vacuno EROSKI,bandeja 400 g,score-d,KILO,6.88,4,4.0,NaN,2.75,2020-04-10
7,"Patas de pulpo cocido EROSKI, bandeja 200 g",Patas de pulpo cocido EROSKI,bandeja 200 g,score-a,KILO,39.95,4,5.0,NaN,7.99,2020-04-10
8,"Hamburguesa de ternera E. LABEL SELEQTIA, 4 unid, bandeja 480 g",Hamburguesa de ternera E. LABEL SELEQTIA,4 unid,score-c,KILO,12.71,6,4.6,NaN,6.10,2020-04-10
9,"Lomo adobado fileteado EROSKI, bandeja aprox. 800 g",Lomo adobado fileteado EROSKI,bandeja aprox. 800 g,score-c,KILO,8.75,2,5.0,NaN,7.00,2020-04-10
10,"Picada de vacuno EROSKI, bandeja 400 g",Picada de vacuno EROSKI,bandeja 400 g,score-c,KILO,7.50,0,0,NaN,3.00,2020-04-10
11,"Bacón cocido y ahumado EROSKI basic, sobre 200g",Bacón cocido y ahumado EROSKI basic,sobre 200g,score-e,KILO,8.25,20,4.6,NaN,1.65,2020-04-10
12,"Burguer Meat de vacuno EROSKI basic, bandeja 1 kg",Burguer Meat de vacuno EROSKI basic,bandeja 1 kg,score-c,NaN,NaN,0,0,NaN,5.30,2020-04-10
13,"Chorizo extra dulce EROSKI, sarta 250 g",Chorizo extra dulce EROSKI,sarta 250 g,score-e,KILO,10.60,9,4.7,NaN,2.65,2020-04-10
14,"Chuleta pavo al ajillo EROSKI, bandeja aprox. 500 g",Chuleta pavo al ajillo EROSKI,bandeja aprox. 500 g,score-b,KILO,7.46,6,4.8,NaN,3.73,2020-04-10
15,"Hamburguesa de pollo c/espinacas EROSKI, 4 unid., bandeja 313 g",Hamburguesa de pollo c/espinacas EROSKI,4 unid.,score-b,KILO,8.79,10,4.9,NaN,2.75,2020-04-10
16,"Lomo de cerdo ibérico adobado Eroski SELEQTIA, bandeja aprox. 350 g",Lomo de cerdo ibérico adobado Eroski SELEQTIA,bandeja aprox. 350 g,score-c,KILO,23.94,2,5.0,NaN,8.38,2020-04-10
17,"Filetes de pechuga de pavo al ajillo EROSKI, bandeja aprox. 500 g",Filetes de pechuga de pavo al ajillo EROSKI,bandeja aprox. 500 g,score-b,KILO,8.66,3,4.6,NaN,4.33,2020-04-10
18,"Chorizo dulce EROSKI basic, sarta 200 g",Chorizo dulce EROSKI basic,sarta 200 g,score-e,KILO,9.25,2,3.0,NaN,1.85,2020-04-10
19,"Palitos de surimi MSC EROSKI, bandeja 300 g",Palitos de surimi MSC EROSKI,bandeja 300 g,score-c,KILO,10.50,6,4.6,NaN,3.15,2020-04-10
20,"Taquitos de bacón ahumado con humo natural EROSKI, pack 2x100 g",Taquitos de bacón ahumado con humo natural EROSKI,pack 2x100 g,score-e,KILO,13.75,2,4.5,NaN,2.75,2020-04-10
21,"Pistachos tostados-salados EROSKI, bolsa 400 g",Pistachos tostados-salados EROSKI,bolsa 400 g,score-c,KILO,16.23,0,0,NaN,6.49,2020-04-10
22,"Tomate frito EROSKI, frasco 550 g",Tomate frito EROSKI,frasco 550 g,NaN,KILO,1.47,1,5.0,NaN,0.81,2020-04-10
23,"Jamón cocido EROSKI basic, sobre 275 g",Jamón cocido EROSKI basic,sobre 275 g,score-c,KILO,7.13,1,5.0,NaN,1.96,2020-04-10
24,"Jamón cocido extra EROSKI Maestro, sobre 200 g",Jamón cocido extra EROSKI Maestro,sobre 200 g,score-c,KILO,11.75,20,4.7,NaN,2.35,2020-04-10
25,"Chorizo Pamplona extra EROSKI basic, sobre 200 g",Chorizo Pamplona extra EROSKI basic,sobre 200 g,score-e,KILO,7.10,2,5.0,NaN,1.42,2020-04-10
26,"Yogur natural EROSKI basic, pack 8x125 g",Yogur natural EROSKI basic,pack 8x125 g,score-a,KILO,0.96,4,5.0,NaN,0.96,2020-04-10
27,"Queso fundido EROSKI basic, lonchas, sobre 450 g",Queso fundido EROSKI basic,lonchas,score-d,KILO,3.44,4,4.7,NaN,1.55,2020-04-10
28,"Lomo adob. fileteado al vacío EROSKI basic, bandeja aprox. 800 g",Lomo adob. fileteado al vacío EROSKI basic,bandeja aprox. 800 g,score-c,KILO,6.80,3,3.6,NaN,5.44,2020-04-10
29,"Fiambre de pechuga de pavo EROSKI basic, sobre 225 g",Fiambre de pechuga de pavo EROSKI basic,sobre 225 g,score-d,KILO,9.11,3,5.0,NaN,2.05,2020-04-10
30,"Yogur de fresa-plátano-limón EROSKI basic, pack 8x125 g",Yogur de fresa-plátano-limón EROSKI basic,pack 8x125 g,score-b,KILO,1.04,5,5.0,NaN,1.05,2020-04-10
31,"Pistachos tostados EROSKI, tarrina 200 g",Pistachos tostados EROSKI,tarrina 200 g,score-a,KILO,18.75,1,5.0,NaN,3.75,2020-04-10
32,"Pistachos tostados EROSKI, bolsa 175 g",Pistachos tostados EROSKI,bolsa 175 g,score-c,KILO,17.09,3,4.3,NaN,2.99,2020-04-10
33,"Filetes de pechuga pollo al ajillo EROSKI, bandeja peso aprox. 500 g",Filetes de pechuga pollo al ajillo EROSKI,bandeja peso aprox. 500 g,score-b,KILO,7.96,1,5.0,NaN,3.98,2020-04-10
34,"Filete de pechuga de pavo pimentón EROSKI, bandeja aprox. 430 g",Filete de pechuga de pavo pimentón EROSKI,bandeja aprox. 430 g,score-b,KILO,8.65,1,5.0,NaN,3.72,2020-04-10
35,"Carne picada 100% vacuno EROSKI, bandeja 400 g",Carne picada 100% vacuno EROSKI,bandeja 400 g,score-b,KILO,10.50,6,5.0,NaN,4.20,2020-04-10
36,"Griego con fresas EROSKI, pack 6x125 g",Griego con fresas EROSKI,pack 6x125 g,score-c,KILO,2.00,9,4.5,NaN,1.49,2020-04-10
37,"Queso rallado Emmental EROSKI, bolsa 200 g",Queso rallado Emmental EROSKI,bolsa 200 g,score-d,KILO,6.75,4,5.0,NaN,1.35,2020-04-10
38,"Longaniza de pollo EROSKI Sannia, bandeja 360 g",Longaniza de pollo EROSKI Sannia,bandeja 360 g,score-c,KILO,8.33,3,4.0,NaN,3.00,2020-04-10
39,"Bebida de soja calcio ligera EROSKI, brik 1 litro",Bebida de soja calcio ligera EROSKI,brik 1 litro,score-a,NaN,NaN,4,4.5,NaN,0.94,2020-04-10
40,"Lomo embuchado EROSKI, pack 2x62,5 g",Lomo embuchado EROSKI,pack 2x62,score-d,KILO,20.00,0,0,NaN,2.50,2020-04-10
41,"Bebida de soja EROSKI, brik 1 litro",Bebida de soja EROSKI,brik 1 litro,score-a,NaN,NaN,0,0,NaN,0.94,2020-04-10
42,"Salchichas Frankfurt EROSKI basic, pack 4x160 g",Salchichas Frankfurt EROSKI basic,pack 4x160 g,score-d,KILO,2.27,2,4.5,NaN,1.45,2020-04-10
43,"Garbanzos cocidos EROSKI basic, frasco 400 g",Garbanzos cocidos EROSKI basic,frasco 400 g,score-a,KILO,1.63,1,5.0,NaN,0.65,2020-04-10
44,"Chorizo extra picante EROSKI, sarta 250 g",Chorizo extra picante EROSKI,sarta 250 g,score-e,KILO,10.60,2,5.0,NaN,2.65,2020-04-10
45,"Avellanas tostadas EROSKI, tarrina 150 g",Avellanas tostadas EROSKI,tarrina 150 g,score-a,KILO,17.93,0,0,NaN,2.69,2020-04-10
46,"Copa de chocolate-nata EROSKI, pack 4x115 g",Copa de chocolate-nata EROSKI,pack 4x115 g,score-c,KILO,2.35,6,4.6,NaN,1.06,2020-04-10
47,"Bonyourt yogur líquido de fresa-plátano EROSKI, pack 4x180 g",Bonyourt yogur líquido de fresa-plátano EROSKI,pack 4x180 g,score-b,KILO,2.28,3,4.6,NaN,1.65,2020-04-10
48,"Batido de cacao EROSKI, pack 6x200 ml",Batido de cacao EROSKI,pack 6x200 ml,score-b,LITRO,0.90,3,5.0,NaN,1.05,2020-04-10
49,"Tiras de bacón ahumado EROSKI basic, tarrina 200 g",Tiras de bacón ahumado EROSKI basic,tarrina 200 g,score-e,KILO,7.75,3,4.3,NaN,1.55,2020-04-10
50,"Yogur de fresa-limón-coco-macedonia EROSKI basic, pack 12x125 g",Yogur de fresa-limón-coco-macedonia EROSKI basic,pack 12x125 g,score-b,KILO,1.04,4,3.7,NaN,1.55,2020-04-10
51,"Petit para beber de fresa EROSKI, pack 6x100 ml",Petit para beber de fresa EROSKI,pack 6x100 ml,score-b,KILO,3.10,1,5.0,NaN,1.85,2020-04-10
52,"Activitas de fresa EROSKI, pack 12x100 ml",Activitas de fresa EROSKI,pack 12x100 ml,score-b,KILO,2.50,2,4.5,NaN,2.99,2020-04-10
53,"Longaniza de pavo EROSKI, bandeja 350 g",Longaniza de pavo EROSKI,bandeja 350 g,score-b,KILO,8.57,1,5.0,NaN,3.00,2020-04-10
54,"Mejillón en escabeche EROSKI, pack 3x80 g",Mejillón en escabeche EROSKI,pack 3x80 g,score-c,KILO,6.50,0,0,NaN,1.55,2020-04-10
55,"Bonyourt yogur líquido de fresa EROSKI, pack 4x180 g",Bonyourt yogur líquido de fresa EROSKI,pack 4x180 g,score-b,KILO,2.28,2,4.5,NaN,1.65,2020-04-10
56,"Queso de Burgos EROSKI basic, pack 2x250 g",Queso de Burgos EROSKI basic,pack 2x250 g,score-c,KILO,3.18,0,0,NaN,1.59,2020-04-10
57,"Activitas natural EROSKI, pack 12x100 ml",Activitas natural EROSKI,pack 12x100 ml,score-b,KILO,2.50,0,0,NaN,2.99,2020-04-10
58,"Jamón cocido extra lonchas finas EROSKI, bandeja 150 g",Jamón cocido extra lonchas finas EROSKI,bandeja 150 g,score-d,KILO,13.00,0,0,NaN,1.95,2020-04-10
59,"Chorizo dulce extra EROSKI basic, sobre 200 g",Chorizo dulce extra EROSKI basic,sobre 200 g,score-e,KILO,7.10,0,0,NaN,1.42,2020-04-10
60,"Salmón ahumado reducido sal duo EROSKI, pack 2x50 g",Salmón ahumado reducido sal duo EROSKI,pack 2x50 g,score-d,KILO,39.50,4,4.7,NaN,3.95,2020-04-10
61,"Cuajada de oveja Eroski SELEQTIA, tarro de barro 140 g",Cuajada de oveja Eroski SELEQTIA,tarro de barro 140 g,score-c,KILO,7.07,12,5.0,NaN,0.99,2020-04-10
62,"Arroz con leche EROSKI, pack 4x130 g",Arroz con leche EROSKI,pack 4x130 g,score-c,KILO,2.23,3,5.0,NaN,1.17,2020-04-10
63,"Hamburguesa de vacuno EROSKI basic, 6 unid., bandeja 510 g",Hamburguesa de vacuno EROSKI basic,6 unid.,score-d,KILO,6.18,0,0,3.61,3.15,2020-04-10
64,"Palito de mar EROSKI basic, bolsa 450 g",Palito de mar EROSKI basic,bolsa 450 g,score-c,KILO,3.44,0,0,NaN,1.55,2020-04-10
65,"Mejillón al vapor EROSKI, bolsa 1 kg",Mejillón al vapor EROSKI,bolsa 1 kg,score-a,NaN,NaN,11,4.6,NaN,5.45,2020-04-10
66,"Natillas de vainilla EROSKI, pack 4x120 g",Natillas de vainilla EROSKI,pack 4x120 g,score-c,KILO,1.50,2,5.0,NaN,0.73,2020-04-10
67,"Atún claro en escabeche EROSKI, pack 3x80 g",Atún claro en escabeche EROSKI,pack 3x80 g,score-b,KILO,8.25,0,0,NaN,1.99,2020-04-10
68,"Queso rallado Grana Padano Eroski SELEQTIA, bolsa 100 g",Queso rallado Grana Padano Eroski SELEQTIA,bolsa 100 g,score-d,KILO,15.90,5,4.2,NaN,1.59,2020-04-10
69,"Brocheta de muslo de pollo EROSKI , bandeja 360 g",Brocheta de muslo de pollo EROSKI,bandeja 360 g,score-c,KILO,9.72,1,5.0,NaN,3.50,2020-04-10
70,"Yogur natural azucarado EROSKI basic, pack 8x125 g",Yogur natural azucarado EROSKI basic,pack 8x125 g,score-b,KILO,0.96,2,5.0,NaN,0.96,2020-04-10
71,"Anacardos tostados-salados EROSKI, bolsa 175 g",Anacardos tostados-salados EROSKI,bolsa 175 g,score-c,KILO,13.43,1,2.0,NaN,2.35,2020-04-10
72,"Tomate frito EROSKI basic, pack 3x200 g",Tomate frito EROSKI basic,pack 3x200 g,score-a,KILO,1.35,4,5.0,NaN,0.80,2020-04-10
73,"Petit para beber de fresa-plátano EROSKI, pack 6x100 ml",Petit para beber de fresa-plátano EROSKI,pack 6x100 ml,score-b,KILO,3.10,3,5.0,NaN,1.85,2020-04-10
74,"Mix de frutos secos crudos EROSKI, bolsa 150 g",Mix de frutos secos crudos EROSKI,bolsa 150 g,score-a,KILO,17.93,1,5.0,NaN,2.69,2020-04-10
75,"Gazpacho EROSKI, brik 1 litro",Gazpacho EROSKI,brik 1 litro,score-a,NaN,NaN,3,5.0,NaN,1.75,2020-04-10
76,"Flan de queso EROSKI, pack 4x100 g",Flan de queso EROSKI,pack 4x100 g,score-c,KILO,4.70,6,5.0,NaN,1.89,2020-04-10
77,"Yogur desnatado con fresas EROSKI, pack 4x125 g",Yogur desnatado con fresas EROSKI,pack 4x125 g,score-a,KILO,1.68,5,5.0,NaN,0.85,2020-04-10
78,"Jamón cocido extra EROSKI, sobre 250 g",Jamón cocido extra EROSKI,sobre 250 g,score-d,KILO,10.20,0,0,NaN,2.55,2020-04-10
79,"Yogur con fresas-albaricoque-pera-mora EROSKI, pack 8x125 g",Yogur con fresas-albaricoque-pera-mora EROSKI,pack 8x125 g,score-b,KILO,1.84,1,5.0,NaN,1.85,2020-04-10
80,"Salchichón extra EROSKI basic, sobre 200 g",Salchichón extra EROSKI basic,sobre 200 g,score-e,KILO,9.15,0,0,NaN,1.83,2020-04-10
81,"Fuet extra EROSKI basic, unidad",Fuet extra EROSKI basic,unidad,score-e,NaN,NaN,0,0,NaN,1.49,2020-04-10
82,"Filetes lomo adobado EROSKI Sannia, bandeja 300 g",Filetes lomo adobado EROSKI Sannia,bandeja 300 g,score-b,KILO,12.83,2,5.0,NaN,3.85,2020-04-10
83,"Petit de bolsillo sabor fresa EROSKI, pack 4x80 g",Petit de bolsillo sabor fresa EROSKI,pack 4x80 g,score-b,KILO,5.50,0,0,NaN,1.75,2020-04-10
84,"Pechuga de pavo marinada extrafina EROSKI, bandeja 330 g",Pechuga de pavo marinada extrafina EROSKI,bandeja 330 g,score-b,KILO,11.36,2,5.0,NaN,3.75,2020-04-10
85,"Chorizo ibérico EROSKI, sobre 100 g",Chorizo ibérico EROSKI,sobre 100 g,score-e,KILO,24.00,3,4.6,NaN,2.40,2020-04-10
86,"Queso rallado para fundir-gratinar EROSKI basic, bolsa 400 g",Queso rallado para fundir-gratinar EROSKI basic,bolsa 400 g,score-d,KILO,4.50,1,5.0,NaN,1.80,2020-04-10
87,"Caldo de pollo EROSKI, brik 1 litro",Caldo de pollo EROSKI,brik 1 litro,score-b,NaN,NaN,2,5.0,NaN,0.90,2020-04-10
88,"Mayonesa EROSKI basic, frasco 450 ml",Mayonesa EROSKI basic,frasco 450 ml,score-d,LITRO,2.64,1,5.0,NaN,1.19,2020-04-10
89,"Almendras repeladas fritas EROSKI, tarrina 185 g",Almendras repeladas fritas EROSKI,tarrina 185 g,score-b,KILO,18.32,0,0,NaN,3.39,2020-04-10
90,"Cacahuetes repelados fritos EROSKI, bolsa 400 g",Cacahuetes repelados fritos EROSKI,bolsa 400 g,score-c,KILO,3.88,0,0,NaN,1.55,2020-04-10
91,"Picada de pollo burguer meat EROSKI Sannia, bandeja 400 g",Picada de pollo burguer meat EROSKI Sannia,bandeja 400 g,score-a,KILO,8.13,1,5.0,NaN,3.25,2020-04-10
92,"Flan de huevo EROSKI, pack 4x100 g",Flan de huevo EROSKI,pack 4x100 g,score-c,KILO,2.90,2,5.0,NaN,1.14,2020-04-10
93,"Yogur natural cremoso edulcorado 0% EROSKI, pack 4x125 g",Yogur natural cremoso edulcorado 0% EROSKI,pack 4x125 g,score-a,KILO,2.16,4,5.0,NaN,1.07,2020-04-10
94,"Burguer Meat de pavo EROSKI, bandeja 400 g",Burguer Meat de pavo EROSKI,bandeja 400 g,score-b,KILO,7.88,2,5.0,NaN,3.15,2020-04-10
95,"Fiambre de york para sándwich EROSKI basic, bandeja 300 g",Fiambre de york para sándwich EROSKI basic,bandeja 300 g,score-d,KILO,5.17,3,4.6,NaN,1.55,2020-04-10
96,"Bebida de arroz EROSKI, brik 1 litro",Bebida de arroz EROSKI,brik 1 litro,score-b,NaN,NaN,1,4.0,NaN,1.27,2020-04-10
97,"Salchichas con queso EROSKI, sobre 200 g",Salchichas con queso EROSKI,sobre 200 g,score-d,KILO,3.10,0,0,NaN,0.62,2020-04-10
98,"Almendras repeladas fritas EROSKI, bolsa 175 g",Almendras repeladas fritas EROSKI,bolsa 175 g,score-a,KILO,16.51,1,1.0,NaN,2.89,2020-04-10
99,"Almendras tostadas con piel EROSKI, bolsa 175 g",Almendras tostadas con piel EROSKI,bolsa 175 g,score-c,KILO,16.51,0,0,NaN,2.89,2020-04-10
100,"Mayonesa EROSKI, bote 430 ml",Mayonesa EROSKI,bote 430 ml,score-d,LITRO,2.93,1,5.0,NaN,1.26,2020-04-10
101,"Mejillón en escabeche 8-12 EROSKI, Lata 111 g",Mejillón en escabeche 8-12 EROSKI,Lata 111 g,score-c,KILO,13.42,0,0,NaN,1.49,2020-04-10
102,"Chorizo sarta natural ALEJANDRO, sarta 200 g",Chorizo sarta natural ALEJANDRO,sarta 200 g,NaN,KILO,17.45,1,5.0,NaN,3.49,2020-04-10
103,"Longaniza fresca de cerdo EROSKI basic, bandeja 375 g",Longaniza fresca de cerdo EROSKI basic,bandeja 375 g,score-d,KILO,5.06,0,0,NaN,2.00,2020-04-10
104,"Pistacho tostado sin sal EROSKI, bolsa 175 g",Pistacho tostado sin sal EROSKI,bolsa 175 g,score-a,KILO,17.09,1,5.0,NaN,2.99,2020-04-10
105,"Patatas lisas Eroski SELEQTIA, bolsa 150 g",Patatas lisas Eroski SELEQTIA,bolsa 150 g,score-c,KILO,9.87,10,4.5,NaN,1.48,2020-04-10
106,"Alubia blanca EROSKI basic, frasco 400 g",Alubia blanca EROSKI basic,frasco 400 g,score-a,KILO,1.63,2,2.5,NaN,0.65,2020-04-10
107,"Arroz 3 delicias EROSKI basic, bolsa 1 kg",Arroz 3 delicias EROSKI basic,bolsa 1 kg,score-b,NaN,NaN,2,4.5,NaN,2.32,2020-04-10
108,"Pechuga de pavo reducida en sal EROSKI Sannia, bandeja 150 g",Pechuga de pavo reducida en sal EROSKI Sannia,bandeja 150 g,score-b,KILO,11.00,1,5.0,NaN,1.65,2020-04-10
109,"Bebida de almendra EROSKI, brik 1 litro",Bebida de almendra EROSKI,brik 1 litro,score-b,NaN,NaN,0,0,NaN,1.39,2020-04-10
110,"Chistorra EROSKI MAESTRO, pieza 220 g",Chistorra EROSKI MAESTRO,pieza 220 g,score-e,KILO,8.86,4,5.0,NaN,1.95,2020-04-10
111,"Pan de molde con cereales SCHAR, paquete 300 g",Pan de molde con cereales SCHAR,paquete 300 g,NaN,KILO,9.30,0,0,NaN,2.79,2020-04-10
112,"Tomate con aceite de oliva artesano EROSKI, frasco 550 g",Tomate con aceite de oliva artesano EROSKI,frasco 550 g,score-c,KILO,3.07,4,5.0,NaN,1.69,2020-04-10
113,"Pasa sultana EROSKI, bolsa 250 g",Pasa sultana EROSKI,bolsa 250 g,score-a,KILO,7.28,0,0,NaN,1.82,2020-04-10
114,"Cabecero de lomo EROSKI, pack 2x62,5 g",Cabecero de lomo EROSKI,pack 2x62,score-d,KILO,16.00,0,0,NaN,2.00,2020-04-10
115,"Avellanas tostadas EROSKI, bolsa 100 g",Avellanas tostadas EROSKI,bolsa 100 g,score-a,KILO,20.90,0,0,NaN,2.09,2020-04-10
116,"Hamburguesa mixta EROSKI basic, 6 unid, bandeja 510 g",Hamburguesa mixta EROSKI basic,6 unid,score-d,KILO,6.57,1,3.0,NaN,3.35,2020-04-10
117,"Yogur desnatado con melocotón EROSKI, pack 4x125 g",Yogur desnatado con melocotón EROSKI,pack 4x125 g,score-a,KILO,1.68,1,5.0,NaN,0.85,2020-04-10
118,"Palomitas microondas EROSKI, pack 3x100 g",Palomitas microondas EROSKI,pack 3x100 g,score-d,KILO,3.50,2,5.0,NaN,1.06,2020-04-10
119,"Pechuga de pavo mini EROSKI, pieza 500 g",Pechuga de pavo mini EROSKI,pieza 500 g,score-c,KILO,6.30,0,0,NaN,3.15,2020-04-10
120,"Pipas gigantes aguasal EROSKI, bolsa 170 g",Pipas gigantes aguasal EROSKI,bolsa 170 g,score-d,KILO,6.76,2,4.5,NaN,1.15,2020-04-10
121,"Caldo de carne EROSKI, brik 1 litro",Caldo de carne EROSKI,brik 1 litro,score-c,NaN,NaN,0,0,NaN,0.90,2020-04-10
122,"Natillas de chocolate EROSKI, pack 4x120 g",Natillas de chocolate EROSKI,pack 4x120 g,score-c,KILO,1.50,2,5.0,NaN,0.73,2020-04-10
123,"Mejillón picante en escabeche 14/18 piezas EROSKI, lata 111 g",Mejillón picante en escabeche 14/18 piezas EROSKI,lata 111 g,score-b,KILO,10.36,0,0,NaN,1.15,2020-04-10
124,"Salsa de tomate Eroski SELEQTIA, frasco 350 g",Salsa de tomate Eroski SELEQTIA,frasco 350 g,score-c,KILO,4.54,4,5.0,NaN,1.59,2020-04-10
125,"Queso en polvo EROSKI, bolsa 100 g",Queso en polvo EROSKI,bolsa 100 g,score-d,KILO,9.50,0,0,NaN,0.95,2020-04-10
126,"Biactive 0% con frutas EROSKI, pack 8x125 g",Biactive 0% con frutas EROSKI,pack 8x125 g,score-a,KILO,2.16,0,0,NaN,2.18,2020-04-10
127,"Lunch EROSKI, sobre 250 g",Lunch EROSKI,sobre 250 g,score-d,KILO,7.56,1,4.0,NaN,1.89,2020-04-10
128,"Medallón de Foie Eroski SELEQTIA, blister 100 g",Medallón de Foie Eroski SELEQTIA,blister 100 g,score-e,KILO,69.50,1,5.0,NaN,6.95,2020-04-10
129,"Hamburguesa de pollo EROSKI, bandeja 360 g",Hamburguesa de pollo EROSKI,bandeja 360 g,score-c,KILO,7.64,0,0,NaN,2.75,2020-04-10
130,"Pechuga de pavo ahumada EROSKI Maestro, al corte, compra mínima 100 g",Pechuga de pavo ahumada EROSKI Maestro,al corte,score-c,KILO,13.20,6,5.0,NaN,1.32,2020-04-10
131,"Morcilla de arroz EROSKI, pieza 265 g",Morcilla de arroz EROSKI,pieza 265 g,score-d,KILO,5.47,2,5.0,NaN,1.45,2020-04-10
132,"Queso en dados para ensalada EROSKI, bolsa 150 g",Queso en dados para ensalada EROSKI,bolsa 150 g,score-e,KILO,8.33,1,5.0,NaN,1.25,2020-04-10
133,"Mejillón frito en escabeche Eroski SELEQTIA, lata 111 g",Mejillón frito en escabeche Eroski SELEQTIA,lata 111 g,score-c,KILO,28.74,1,5.0,3.55,3.19,2020-04-10
134,"Yogur natural con azúcar de caña EROSKI, pack 4x125 g",Yogur natural con azúcar de caña EROSKI,pack 4x125 g,score-c,KILO,1.28,2,5.5,NaN,0.64,2020-04-10
135,"Mix de frutos secos original EROSKI, bolsa 500 g",Mix de frutos secos original EROSKI,bolsa 500 g,score-c,KILO,3.98,2,5.0,NaN,1.99,2020-04-10
136,"Cuajada natural azucarada EROSKI, pack 4x125 g",Cuajada natural azucarada EROSKI,pack 4x125 g,score-c,KILO,2.48,0,0,NaN,1.24,2020-04-10
137,"Salchichón ibérico EROSKI, sobre 100 g",Salchichón ibérico EROSKI,sobre 100 g,score-e,KILO,24.00,1,5.0,NaN,2.40,2020-04-10
138,"Activita sabor de fresa-plátano-coco-piña EROSKI, pack 12x100 ml",Activita sabor de fresa-plátano-coco-piña EROSKI,pack 12x100 ml,score-b,KILO,2.50,0,0,NaN,2.99,2020-04-10
139,"Lomo cebo campo ibérico 50% raza ibérica EROSKI, sobre 100 g",Lomo cebo campo ibérico 50% raza ibérica EROSKI,sobre 100 g,score-e,KILO,57.00,2,2.5,NaN,5.70,2020-04-10
140,"Costilla adobada ibérica en trozo EROSKI, bandeja aprox. 400 g",Costilla adobada ibérica en trozo EROSKI,bandeja aprox. 400 g,score-e,KILO,5.50,0,0,NaN,2.20,2020-04-10
141,"Confit de pato Eroski SELEQTIA, lata 600 g",Confit de pato Eroski SELEQTIA,lata 600 g,score-d,KILO,14.15,3,4.6,NaN,8.49,2020-04-10
